gene	transcript	GFP1	GFP2	GFP3	NFYA_DN1	NFYA_DN2	NFYA_DN3	PBCAB1	PBCAB2	PBCAB3
dffb	NM_194404	18.97	17.49	17.65	20.39	16.10	14.65	15.89	18.16	15.51
slc1a3b	NM_001190303	0.37	0.39	0.37	0.58	0.45	0.45	0.07	0.19	0.53
usp3	NM_001199871	19.01	17.60	21.55	18.63	17.57	19.24	20.59	18.52	16.98
cnn3a	NM_199753	111.78	114.98	110.03	125.27	118.82	114.01	162.99	114.84	142.65
kpna7	NM_213070	1.22	0.36	0.86	0.91	0.95	1.21	0.90	1.45	1.06
wnt3	NM_001114552	4.01	3.92	4.73	2.64	2.80	2.41	2.28	4.90	3.44
krt17	NM_001083105	1334.88	1376.27	1249.15	984.63	962.49	1016.76	1017.92	1019.70	1030.10
adm2a	NM_001130135	0.06	0.12	0.11	0.12	0.06	0.47	0.68	0.06	0.98
crabp1a	NM_182858	0.43	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.00
runx1	NM_131603	0.43	0.35	1.91	1.23	1.11	0.39	0.52	0.67	0.41
crybb3	NM_001018130	3.28	1.56	2.17	2.50	1.02	1.45	1.55	2.07	1.50
tagln3b	NM_199720	10.29	9.41	9.55	6.21	5.59	5.94	13.50	9.66	12.14
gtf3c2	NM_001045018	6.24	6.27	7.79	7.14	6.65	4.30	6.00	5.70	4.80
si:ch211-223m11.2	NM_001044869	0.10	0.17	0.13	0.17	0.37	0.17	0.35	0.81	0.14
fnbp1l	NM_001003634	45.29	45.81	41.99	40.89	45.74	50.72	59.33	42.21	53.96
cdkn2c	NM_001199994	1.69	1.12	1.46	2.13	1.57	1.65	3.92	2.06	3.53
camkvb	NM_200450	0.12	0.00	0.06	0.06	0.12	0.06	0.00	0.12	0.19
ccl25b	NM_001200035	0.13	0.13	2.05	0.14	0.40	0.27	0.15	0.54	0.00
znf1068	NM_001111199	16.69	14.35	13.88	12.37	12.33	10.22	14.32	15.12	12.77
pdzk1ip1	NM_001007760	1.12	1.01	1.46	1.15	1.14	0.99	0.88	1.44	0.99
si:dkey-73n8.3	NM_001200062	2.49	2.61	2.29	1.93	2.28	2.21	2.32	2.21	2.98
gpc2	NM_001302253	17.61	13.92	13.40	11.15	9.33	10.60	15.34	14.94	16.02
rxfp3.2b	NM_001083879	0.17	0.71	0.34	0.36	0.70	0.62	0.81	0.89	1.28
cfap126	NM_001045418	3.46	3.70	4.50	2.52	1.99	2.29	2.55	3.20	2.58
parp2	NM_001204270	54.87	50.92	55.22	45.51	42.22	46.21	56.01	60.05	54.38
sin3b	NM_001044945	58.09	62.65	63.13	55.16	63.89	65.31	66.64	69.01	65.58
mir19b	NR_030016	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00	0.00
sod3a	NM_001099236	19.82	22.04	30.45	38.41	30.37	28.11	12.94	28.13	14.99
pmp22b	NM_001040355	60.86	63.27	56.03	54.39	54.73	44.10	38.62	53.14	43.56
clocka	NM_130957	2.79	4.12	1.80	3.52	3.03	3.88	5.68	3.16	6.36
rcvrn3	NM_200825	1.85	1.37	1.84	2.72	2.49	2.17	1.88	2.40	1.77
dpp3	NM_001002683	25.06	27.30	32.90	28.38	30.39	22.42	17.05	28.91	21.04
nsmfb	NM_001143901	0.54	0.68	0.50	1.21	0.63	0.68	0.48	0.53	0.54
prkg1a	NM_201030	0.74	1.39	2.05	2.10	1.89	1.98	1.93	2.22	2.57
ddx21	NM_001127335	190.57	198.33	149.02	153.16	152.46	154.71	231.08	120.64	201.41
casc3	NM_205716	114.86	119.01	107.68	107.97	114.33	126.32	142.80	117.11	147.19
prcp	NM_001002694	1.60	1.36	2.13	1.85	2.51	1.05	0.90	1.63	1.30
gltscr2	NM_001079946	307.88	322.03	280.69	288.49	288.50	312.01	400.13	260.22	371.23
vps9d1	NM_001013351	34.63	36.30	23.84	49.03	46.82	61.19	61.81	33.21	51.43
kif1bp	NM_001013462	18.86	16.72	17.92	18.77	17.44	17.42	15.56	17.78	13.95
nrp1b	NM_205674	7.18	9.31	11.14	11.23	9.01	4.64	5.63	12.50	7.19
mhc1uba	NM_131471	0.05	0.11	0.00	0.11	0.27	0.66	0.69	0.22	0.11
mir125b-3	NR_030069	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
zfand6	NM_205760	61.97	59.41	55.23	79.20	78.97	91.83	84.56	71.22	80.20
fstl5	NM_001031842	0.07	0.17	0.23	0.34	0.13	0.14	0.16	0.20	0.35
skap2	NM_200628	5.37	6.11	6.49	5.07	4.98	5.28	4.69	6.25	3.88
kif11	NM_173261	139.09	150.95	136.98	122.34	132.84	143.99	158.93	141.84	167.66
mir100-1	NR_030052	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
dusp23a	NM_001039620	2.37	1.91	1.72	2.77	2.25	1.80	1.64	1.23	1.57
cops2	NM_001002055	78.41	86.26	97.80	85.67	78.27	71.20	76.46	85.38	77.81
zgc:172122	NM_001111204	0.10	0.10	0.46	0.37	0.42	0.00	0.12	0.28	0.00
mrpl19	NM_001003544	42.95	40.31	48.08	27.53	21.94	17.02	39.12	51.83	44.15
litaf	NM_001002184	10.70	12.36	14.21	13.95	14.09	13.17	9.12	13.40	9.97
wnt7aa	NM_001025540	1.07	1.12	3.29	1.74	1.40	1.01	0.23	1.83	0.63
med24	NM_001039062	53.07	58.06	54.30	25.17	26.96	20.77	57.25	61.83	55.60
aida	NM_200790	16.11	14.87	23.08	24.52	24.80	19.17	7.79	20.05	12.02
prpf40a	NM_198356	156.32	169.65	163.01	149.82	147.92	145.59	171.33	158.92	171.67
asic1b	NM_214791	0.56	0.39	0.30	0.59	0.66	0.63	0.31	0.67	0.65
itgb1b.2	NM_212928	0.23	0.00	0.54	0.09	0.10	0.30	0.48	0.20	0.10
cpa1	NM_001020482	0.14	0.15	0.28	0.15	0.29	0.15	0.17	0.22	0.08
b3galt2	NM_207101	12.25	13.85	10.88	15.21	14.78	13.86	22.80	14.25	18.75
or118-3	NM_001128417	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
mre11a	NM_001001407	10.61	12.00	16.53	10.31	10.83	7.47	7.25	11.56	8.62
bmb	NM_001270554	9.97	12.32	8.42	20.10	19.76	27.01	25.18	19.79	24.26
tcf3a	NM_131094	59.01	87.16	52.37	71.23	69.64	77.40	131.92	72.21	118.14
ccdc92	NM_001037705	1.61	1.59	1.80	1.49	1.36	1.38	3.05	1.28	2.42
ptpn18	NM_001013452	0.51	0.22	0.59	0.18	0.26	0.00	0.15	0.44	0.36
LOC100000576	NM_001201361	0.66	0.56	1.10	0.98	0.87	1.15	0.58	0.74	0.71
slc16a12b	NM_001145814	4.40	4.21	5.67	5.94	6.09	3.24	2.02	3.07	2.23
nudt8	NM_001077316	8.52	8.28	9.33	8.36	10.23	10.04	12.35	10.63	10.97
vipas39	NM_001001836	4.61	3.22	5.68	5.99	5.09	4.18	2.24	5.90	3.37
si:dkey-284p5.3	NM_001044842	0.20	0.21	0.20	0.62	0.40	0.41	0.47	0.61	0.00
mir9-3	NR_029997	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rcan1a	NM_001003616	97.88	100.60	116.23	154.17	147.49	110.62	42.04	111.80	61.25
tmem106a	NM_001128676	77.46	80.05	77.40	120.05	121.58	114.22	79.09	88.24	80.18
kdm1a	NM_001242995	173.15	175.74	160.20	121.05	127.04	133.44	216.33	156.04	200.94
jph1b	NM_001044348	1.36	1.17	1.21	1.66	1.59	1.46	1.46	1.80	1.43
poglut1	NM_001037434	14.70	17.07	20.43	12.56	12.24	8.79	7.42	10.38	9.00
hoxb1b	NM_131142	242.05	229.89	197.22	215.14	234.48	234.69	383.79	231.33	334.30
il17rd	NM_153660	116.61	121.98	101.65	106.78	107.24	121.37	179.93	113.66	163.66
znrf2a	NM_001102637	106.61	100.42	54.74	134.33	156.27	239.89	189.42	115.43	160.23
apitd1	NM_001128749	48.57	44.85	63.39	46.28	51.80	45.69	41.42	54.58	52.19
nfybb	NM_001013322	11.60	12.37	11.34	60.48	65.74	69.49	9.67	14.85	9.02
gpha2	NM_001166684	0.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
tbx6	NM_153666	360.42	415.10	274.58	262.39	266.88	272.94	367.23	329.35	392.46
zgc:174624	NM_001127472	35.83	36.82	37.22	26.31	28.79	29.97	52.35	39.34	49.18
lpin1	NM_001044353	0.52	0.51	0.33	0.27	0.23	0.62	0.94	1.40	0.96
stk24a	NM_001110451	0.00	0.21	0.13	0.00	0.14	0.00	0.16	0.21	0.00
sema6a	NM_199992	5.78	5.92	7.37	6.77	6.36	3.67	4.26	4.93	4.44
scpep1	NM_200192	134.58	135.80	95.88	199.18	191.18	225.70	157.80	137.65	150.72
oaz1a	NM_194264	503.66	507.95	481.54	665.07	665.36	641.99	448.83	450.24	452.25
lix1l	NM_001126439	23.97	29.08	25.68	20.71	23.21	19.59	27.91	30.99	30.19
cbfb	NM_199209	4.99	6.04	10.44	8.94	8.31	5.39	4.09	6.21	5.18
glula	NM_181559	737.66	715.27	497.77	720.59	770.33	999.83	922.52	721.94	822.50
cmah	NM_001002192	3.85	4.57	5.55	2.22	2.27	2.00	1.80	2.59	1.92
fbxw11a	NM_201310	34.06	32.13	33.76	31.15	33.31	37.32	44.89	34.98	39.97
serpini1	NM_001128692	0.15	0.16	0.31	0.43	0.63	0.91	0.12	0.32	0.17
ilf3a	NM_001030065	160.71	155.32	140.48	128.36	131.72	159.33	184.16	157.40	180.86
zgc:101846	NM_001005967	494.93	462.00	361.78	239.31	259.55	227.92	364.59	326.53	353.26
mpped2a	NM_001017735	6.31	6.12	6.20	6.30	5.69	6.17	7.94	6.10	6.80
rpp25l	NM_001002540	17.88	17.23	18.18	17.95	18.01	18.64	17.88	19.63	19.97
dldh	NM_201506	54.31	53.34	61.75	61.00	59.74	51.63	37.52	54.47	41.66
ccl34a.3	NM_001115069	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
mir21-2	NR_030021	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
crhb	NM_001007379	0.00	0.10	0.00	0.30	0.00	0.00	0.11	0.00	0.00
zgc:113090	NM_001020712	3.41	4.57	4.00	4.63	3.85	4.31	4.82	5.01	4.57
rfx3	NM_001080048	20.20	23.32	16.39	14.98	13.45	17.45	29.77	21.11	26.25
cacng6a	NM_001083091	1.30	1.44	2.98	1.62	1.17	0.76	0.49	2.11	0.87
hoxb6b	NM_131538	15.97	16.53	11.45	8.28	10.57	7.03	12.30	14.29	11.95
si:dkeyp-92c9.3	NM_001045221	0.10	0.07	0.10	0.17	0.14	0.14	0.08	0.10	0.04
zgc:174310	NM_001110527	13.53	14.77	15.26	13.68	14.93	13.46	19.10	16.14	16.83
slc9a6b	NM_001113476	1.09	0.86	1.43	1.65	1.30	1.18	2.66	1.82	1.88
bpnt1	NM_001002354	0.25	0.18	0.25	1.07	0.61	0.97	0.41	0.71	0.36
hars	NM_001302256,NM_001302262	160.58	154.77	161.34	152.34	158.85	158.89	100.59	143.46	113.24
zgc:114181	NM_001310033	146.43	146.11	197.07	263.28	217.92	96.60	36.49	146.67	62.58
zgc:165600	NM_001113661	5.66	4.95	5.76	6.07	6.51	5.22	6.72	5.40	6.14
stxbp3	NM_213471	29.39	28.07	28.75	28.97	25.77	23.07	20.49	28.15	20.04
hint2	NM_001083572	8.28	8.67	9.82	9.36	9.18	9.95	5.72	8.14	5.83
dscc1	NM_001004611	23.17	23.09	27.22	14.49	15.54	14.22	16.25	22.12	16.50
zgc:174938	NM_001105700	109.42	112.15	139.74	102.58	94.30	88.03	68.56	103.61	79.63
add3a	NM_199663	59.29	68.15	57.57	65.91	65.94	68.41	86.63	69.03	82.78
dcc	NM_001034985	0.45	0.61	0.77	0.74	0.46	0.60	0.15	0.40	0.35
tada2b	NM_001024443	10.05	10.59	10.95	11.98	9.65	11.30	15.35	11.96	13.01
cpsf3l	NM_001020621	33.08	32.53	33.82	20.10	19.87	18.14	26.42	35.55	27.38
dicer1	NM_001161453	26.36	29.64	30.55	28.65	27.31	25.77	28.44	33.10	28.84
nrgna	NM_001302620	1.94	1.40	1.32	2.54	2.49	1.51	2.32	2.27	2.61
tmem175	NM_001100075	3.47	3.58	2.85	3.20	3.83	4.13	2.92	3.12	2.76
zgc:136929	NM_001040390	14.00	15.15	14.77	22.13	23.38	20.78	13.69	16.88	14.74
tspo	NM_001006032	54.52	52.63	47.64	64.34	56.82	65.94	62.00	59.92	55.27
ei24	NM_001017898	40.69	47.51	42.25	49.98	50.49	54.26	52.68	51.87	53.17
dph7	NM_001082839	23.07	23.57	23.21	19.65	18.86	19.84	20.61	26.47	23.17
si:ch73-226l13.2	NM_001282078	0.12	0.00	0.00	0.00	0.09	0.00	0.00	0.10	0.13
gc3	NM_131866	0.31	0.72	0.43	0.81	1.00	1.15	1.53	1.18	1.38
scinlb	NM_213090	48.34	50.64	34.55	33.98	34.61	36.74	61.25	39.93	58.04
slc17a9b	NM_001002635	21.77	22.19	23.20	35.38	33.18	31.44	15.98	23.76	19.83
si:dkeyp-53d3.3	NM_001089396	2.53	4.61	5.03	3.00	3.06	3.09	2.90	5.62	2.49
asb4	NM_001017628	0.26	0.27	0.19	0.20	0.13	0.20	0.08	0.41	0.14
fpgs	NM_213437	57.27	58.11	44.32	77.66	70.13	61.70	39.39	47.45	40.35
kctd16a	NM_001037238	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00
mpx	NM_212779	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00
alas2	NM_131682	1.45	1.48	1.84	1.74	0.95	0.84	0.92	1.01	1.17
adprh	NM_001003453	0.59	0.31	0.76	0.43	0.61	0.37	0.49	1.11	0.57
uchl1	NM_201477	4.22	4.23	5.32	27.47	27.51	20.33	4.49	10.87	6.06
gtpbp1	NM_213475	51.27	54.61	50.80	54.37	55.02	54.58	63.29	58.91	59.05
zmp:0000000758	NM_001201408	2.08	2.33	3.01	4.62	3.56	1.77	1.13	2.37	1.99
zgc:92630	NM_001002696	3.06	3.10	7.90	2.91	1.79	0.22	1.32	2.56	3.87
nadsyn1	NM_001099253	3.41	3.28	3.00	2.68	1.81	1.60	2.52	2.73	2.57
rnf183	NM_001076668	26.30	23.06	25.95	29.80	31.81	31.74	29.81	23.87	27.10
pimr50	NM_001126479	0.86	0.00	0.00	0.00	0.24	0.00	0.31	0.00	0.34
fras1	NM_001130840	16.02	21.45	16.76	17.53	16.03	12.96	16.06	17.35	17.46
gapdh	NM_001115114	302.59	297.90	374.07	454.73	492.34	521.59	273.41	386.23	308.77
sp3a	NM_001089498	18.52	21.10	11.64	19.93	17.17	23.81	37.08	20.54	32.18
slc37a4a	NM_214738	44.99	44.06	43.89	57.24	54.56	38.78	32.30	39.74	33.08
marveld2b	NM_001126406	14.82	15.61	12.24	20.34	17.29	17.75	17.24	12.47	14.82
mir2198	NR_030658	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
si:ch211-89f7.1	NM_001099993	4.62	3.68	5.11	5.66	6.52	5.27	5.13	8.40	6.09
znf1051	NM_001114900,NM_001320203	105.92	120.13	113.88	97.86	103.17	117.64	129.15	144.53	140.43
uhmk1	NM_001076659	12.11	14.97	13.79	15.45	13.78	12.33	13.72	15.85	15.43
mrps6	NM_001045456	94.72	89.29	82.62	105.85	108.93	123.54	108.21	86.87	91.09
dgcr14	NM_001089330	34.00	38.96	31.79	38.90	37.08	47.67	67.42	41.58	59.78
ccdc3	NM_001025510	9.51	11.00	11.67	6.48	5.72	2.70	7.10	7.22	6.78
zgc:109868	NM_001017824	1568.05	1524.76	1461.44	2041.62	1800.39	1592.97	1352.33	1164.36	1245.54
tlr4ba	NM_001131051	1.03	0.77	0.94	0.59	0.74	0.72	0.00	0.63	0.46
guca1d	NM_001011661	0.38	0.20	0.00	0.00	0.19	0.39	0.00	0.20	0.00
psmg1	NM_001002714	92.48	88.81	77.54	85.23	77.23	61.82	60.36	64.80	66.47
sf3b5	NM_001002478	119.74	108.06	118.96	119.58	129.52	132.65	79.26	111.55	92.02
ccndbp1	NM_001089365	35.78	39.09	34.26	32.83	35.12	33.89	32.12	32.02	36.37
nutf2	NM_001006000	129.57	142.46	134.68	149.39	151.67	140.72	109.48	137.24	117.48
sp7	NM_212863	28.13	37.06	14.45	21.95	20.86	23.05	32.50	30.41	33.53
upk3b	NM_001100063	0.70	0.87	1.40	1.00	1.12	1.40	1.76	1.60	1.51
tubg1	NM_200908	59.48	58.71	69.99	67.11	62.18	58.42	59.60	76.75	62.48
tceb1a	NM_001004673	18.56	16.38	17.49	19.49	19.36	18.45	18.14	20.78	15.65
med15	NM_213073	72.90	76.49	59.82	67.01	70.80	75.56	85.17	72.55	87.09
fkbp4	NM_201469	75.05	78.35	113.36	104.86	104.12	85.24	56.46	111.40	71.69
zgc:110006	NM_001020552	4.31	6.45	5.30	5.38	5.81	7.05	4.79	7.07	6.07
galnt2	NM_001128351	29.38	32.78	32.46	33.93	30.67	28.37	30.66	36.09	33.73
si:ch211-105d11.2	NM_001044994	3.30	3.46	4.95	3.53	4.29	3.86	4.58	5.68	4.18
ankra2	NM_213129	17.74	14.84	18.67	15.87	15.30	14.02	15.11	18.79	14.62
fbxl6	NM_001309518	31.51	33.65	33.06	28.06	29.56	31.25	35.32	34.08	36.04
ppp2r2bb	NM_001030122	0.77	0.95	1.33	1.02	1.27	0.91	0.84	1.26	1.01
kcnj1a.6	NM_001045175	0.18	0.35	0.28	0.23	0.20	0.58	0.46	0.53	0.41
jam2b	NM_001128294	4.24	3.07	6.03	4.03	3.33	1.47	2.42	2.85	1.63
tmem51a	NM_001077730	9.82	11.22	9.97	11.14	9.26	8.15	7.73	12.40	8.53
zgc:153702	NM_001076592	47.62	61.57	37.07	42.58	44.09	51.74	118.63	46.03	105.44
exo1	NM_213469	30.04	30.94	29.40	25.88	28.03	31.66	38.36	40.31	36.14
kcnf1a	NM_001082811	0.00	0.00	0.20	0.07	0.07	0.28	0.00	0.21	0.00
dbx1b	NM_131178	6.09	6.84	19.84	7.92	5.08	5.37	9.12	7.80	7.19
qki2	NM_200842	44.47	54.15	41.11	58.09	54.44	55.85	59.73	55.87	59.09
ppp2r4	NM_001003425	10.46	12.16	13.27	10.67	10.01	8.89	10.81	11.96	10.36
pfkfb4a	NM_001037377	10.52	11.30	8.50	9.61	9.26	11.13	12.67	10.03	11.39
ctnnbl1	NM_200866	100.40	101.65	98.10	85.34	89.56	87.34	90.67	94.13	92.23
rab27a	NM_001030257	9.11	11.63	14.04	12.66	11.28	13.21	11.08	11.23	10.92
mir196d	NR_030664	0.00	0.00	5.53	0.00	0.00	0.00	0.00	0.00	0.00
v2rh32	NM_001082889	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00
lsm12a	NM_214817	17.45	15.47	20.82	20.09	22.14	24.06	19.07	17.50	18.28
zgc:194626	NM_001128777	0.00	0.00	0.00	0.00	0.00	0.00	0.36	0.00	0.00
atf4b	NM_001103192	167.88	150.24	179.86	144.54	163.18	165.14	116.06	197.37	141.77
flvcr1	NM_001025522	23.38	22.97	13.37	24.69	21.25	20.19	22.97	15.23	20.04
ugt2b6	NM_001177335	1.91	0.16	1.89	0.56	0.73	1.28	2.09	1.28	1.30
vdra	NM_130919	2.26	2.68	2.64	3.92	3.14	2.36	4.95	4.00	4.03
efhd1	NM_001305594	167.60	175.12	114.42	299.19	305.47	405.29	236.30	227.37	215.90
mpp2a	NM_001109711	3.71	3.35	2.95	2.70	2.82	4.40	6.15	6.49	5.90
zgc:113333	NM_001013491	17.39	20.13	16.71	16.29	15.12	15.55	19.56	15.45	18.22
mir9-6	NR_045222	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
oprm1	NM_131707	0.00	0.07	0.00	0.14	0.07	0.21	0.00	0.00	0.00
ptpn12	NM_200669	200.46	189.38	137.18	167.46	151.28	168.28	225.68	119.63	182.47
guca1e	NM_200656	0.52	0.29	0.45	0.83	0.99	0.79	0.45	0.43	0.33
ngdn	NM_198373	88.09	85.83	92.36	95.51	102.98	111.00	93.01	93.15	94.33
dennd2da	NM_001077294	20.35	21.75	22.94	15.30	17.90	26.18	20.16	27.38	23.27
snx12	NM_001145892,NM_001145893,NM_001145894,NM_201123	79.64	78.62	105.82	99.74	98.23	89.53	60.69	102.94	78.74
zfand3	NM_001030175	87.07	98.54	87.09	102.27	100.07	98.73	106.70	97.06	120.13
tmem117	NM_213454	0.70	0.98	0.35	0.37	0.12	0.49	0.70	0.61	0.38
arpc1a	NM_201343	204.53	206.88	241.28	225.29	226.54	219.36	144.35	220.97	172.40
pde6c	NM_200871	0.86	1.20	1.35	1.08	1.61	1.88	0.95	4.65	2.01
zgc:158619	NM_001082991	32.51	35.78	36.49	32.43	25.92	13.81	12.57	28.30	19.98
tcf21	NM_001037681	1.55	1.12	2.71	2.76	1.90	0.71	0.35	0.61	0.42
bnip3la	NM_001012242	31.19	33.56	30.32	44.67	38.93	38.42	36.94	30.10	28.25
zgc:66443	NM_213535	27.60	29.62	31.03	30.19	34.24	37.21	46.73	38.23	38.51
slc26a5	NM_201473	27.04	26.70	24.41	30.37	26.96	27.68	33.96	22.53	31.54
nitr13	NM_001127254,NM_001128384	0.00	0.00	0.00	0.00	0.08	0.00	0.11	0.00	0.00
cntnap2b	NM_001302242	0.21	0.24	0.10	0.11	0.24	0.20	0.10	0.11	0.14
metap2a	NM_001100054	1.14	1.72	1.14	2.70	2.13	2.08	0.51	1.41	0.61
si:ch211-125e6.13	NM_001160334	6.82	6.06	5.53	10.06	17.86	17.04	9.46	14.79	15.81
znf76	NM_001077610	3.13	3.47	3.64	4.69	3.65	4.17	4.59	5.09	4.31
zgc:195212	NM_001135145	0.00	0.08	0.36	0.15	0.08	0.38	0.09	0.15	0.16
zgc:110224	NM_001017642	16.98	15.82	12.94	14.73	13.10	11.59	25.20	13.23	19.48
kcnk2b	NM_001037398	0.00	0.00	0.00	0.06	0.19	0.00	0.07	0.06	0.00
mansc1	NM_001083027	16.44	21.67	12.84	17.83	18.48	13.74	11.81	23.77	19.67
rragca	NM_001020635	16.06	19.46	21.35	32.53	30.56	36.65	14.13	26.86	15.08
clcn2b	NM_001316315	3.49	4.73	3.76	8.96	6.61	6.61	5.07	5.61	4.66
pthlha	NM_001024627	0.08	0.09	0.08	0.09	0.00	0.00	0.10	0.09	0.09
tnfaip8l3	NM_200351	1.12	1.59	1.95	1.77	1.21	0.82	0.60	1.29	0.79
dync2li1	NM_200480	12.86	10.65	10.96	6.04	6.73	6.67	14.30	14.69	16.15
zgc:113162	NM_001020714	5.34	5.29	5.07	6.97	5.45	8.62	8.01	8.49	8.39
si:ch211-212o1.2	NM_001080164	6.02	5.47	9.40	5.90	6.74	6.64	7.90	8.51	7.68
pcdh1g2	NM_001023578	0.00	0.00	0.55	0.27	0.14	0.07	0.00	0.00	0.10
tmem11	NM_001017400	88.35	89.24	76.80	89.50	90.70	119.61	156.88	81.24	136.55
ces2	NM_001077252	72.65	83.11	99.69	134.23	113.65	75.00	50.45	88.16	64.35
mycbp2	NM_001012247	10.82	13.86	11.75	12.47	11.74	11.98	13.23	13.23	13.47
slc25a35	NM_001099447	1.93	1.35	1.49	1.24	1.55	1.34	2.31	1.68	1.73
tll1	NM_131010	19.95	25.20	9.20	15.66	16.32	22.11	31.81	23.76	29.62
l3mbtl2	NM_200032	27.53	26.87	27.88	20.73	24.33	24.34	27.33	27.66	28.00
rars	NM_200048	72.65	79.19	90.41	84.23	84.00	75.68	51.12	89.02	57.27
taar13b	NM_001083042	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
synm	NM_001044875	0.27	0.28	0.12	0.46	0.22	0.45	0.38	0.38	0.23
ccnc	NM_199951	30.14	30.45	31.78	26.25	24.93	25.77	28.18	29.30	27.84
ddx56	NM_001003876	81.11	85.13	84.85	86.83	93.96	101.90	95.84	101.01	91.71
gpatch1	NM_001204123	41.66	39.92	39.08	38.76	39.57	42.86	41.55	42.21	43.23
btr22	NM_001123051	3.08	4.05	2.70	3.44	2.91	3.44	0.42	1.81	1.52
foxj1b	NM_001008648	13.51	14.61	18.22	12.68	10.61	7.45	13.79	14.46	13.61
sept9b	NM_001014307	4.91	7.04	8.99	4.95	3.59	2.09	3.87	7.28	4.38
rnf14	NM_001002087	11.44	12.62	11.87	16.28	15.55	16.52	14.89	16.86	13.34
enpp5	NM_001030176	1.78	1.34	1.77	1.12	0.88	0.22	0.34	0.15	0.92
echs1	NM_001004529	34.11	35.23	33.72	45.84	54.62	69.25	54.17	55.16	51.23
il21r.2	NM_001113509	0.14	0.00	0.00	0.00	0.14	0.00	0.00	0.14	0.00
ddc	NM_213342	11.14	10.17	9.71	10.67	11.14	12.05	14.57	13.46	11.72
si:ch211-126g16.10	NM_001128552	1.54	2.42	2.94	1.76	1.60	2.11	3.53	2.76	2.12
ctsk	NM_001017778	7.45	8.68	7.79	9.58	6.74	5.29	7.54	9.92	5.88
msgn1	NM_182882	373.75	398.45	333.96	203.20	238.15	250.21	373.05	304.45	381.50
capn9	NM_001003501	280.69	303.11	239.49	322.94	295.38	335.89	274.16	214.38	255.36
csrp1a	NM_205567	32.42	38.24	37.17	30.85	29.71	25.85	36.52	33.36	38.55
c2h1orf27	NM_200616	17.75	19.11	16.83	19.71	18.34	15.95	17.76	14.41	15.19
bbs7	NM_001077145	15.17	13.37	15.02	7.97	8.35	7.83	12.34	14.34	13.78
eif4ebp2	NM_212803	56.88	63.24	103.65	78.49	67.32	49.65	53.10	59.35	56.74
uqcrc2b	NM_001001589	101.12	100.95	117.81	109.21	110.46	101.27	79.59	101.75	84.23
si:ch211-199o1.2	NM_001100062	2.09	1.77	1.83	2.98	2.41	1.61	2.38	1.50	1.93
plod3	NM_001044343	132.19	132.62	143.03	130.18	121.38	81.75	124.69	124.23	123.15
got2b	NM_199989	46.25	43.98	40.64	16.28	14.76	17.69	49.90	34.98	48.49
gip	NM_001080059	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
zgc:158828	NM_001089467	6.26	4.65	6.22	6.78	5.61	6.10	8.70	5.69	8.69
foxg1b	NM_212914	2.48	3.34	2.61	1.47	1.30	0.59	2.02	1.91	1.92
tnnt2a	NM_152893	0.39	0.10	1.76	0.41	0.00	0.00	0.47	0.20	0.32
ckmb	NM_001105683	0.00	0.07	0.42	0.07	0.00	0.00	0.08	0.15	0.00
mysm1	NM_001164029	11.40	10.84	9.85	9.74	10.05	13.10	17.82	12.50	15.25
ifnphi3	NM_001111083	2.09	1.10	1.27	1.22	1.56	1.94	1.95	2.18	0.88
si:dkey-24p1.1	NM_001098245	0.03	0.00	0.03	0.06	0.00	0.06	0.03	0.09	0.06
ofd1	NM_001004496,NM_001319208	16.11	16.06	18.91	12.73	14.09	11.00	20.14	18.41	20.53
ints6	NM_001126428	21.10	21.12	31.36	28.23	27.42	21.72	15.91	31.35	19.10
adipoqb	NM_001045425	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
tbc1d5	NM_200611	21.73	22.91	18.54	22.11	19.76	18.33	22.99	21.80	25.08
mrpl14	NM_201147	50.53	48.14	55.02	50.20	43.95	38.26	35.18	56.32	36.96
trim35-20	NM_001045009	0.00	0.00	0.00	0.00	0.67	1.09	0.00	1.10	1.13
bsnd	NM_001305623	0.00	0.12	0.00	0.36	0.12	0.00	0.00	0.00	0.00
pkn1b	NM_001089460	0.19	0.03	0.19	0.49	0.19	0.33	0.49	0.55	0.77
acss2l	NM_001277117	7.23	8.45	5.90	10.38	10.12	12.25	15.02	8.53	13.84
